,Unnamed: 0,edu,edu_level,elementary_edu,highschool_edu,postsec_edu,undergrad_edu,graduate_edu,grad_highschool_refyear,grad_college_refyear,grad_univ_refyear,student_status,public_sector,private_sector,lfs,occup,industry,self_emp,union,part_time,major_activity,major_source_inc,multiple_jobs,num_jobs,exp,reason_pt,hourly_wage,hours_paid,months_last_worked,tenure,sex,age,year,weight,salary,firm_size,loc_size
23053,63801,non-university postsecondary certificate,4,1,1,1,0,0,0,1,0,1,0,1,employed all year,"wholesale, technical, insurance, real estate sales specialists",manufacturing,0,0,0,working,wages and salaries,0,1,23.0,,30.657430167597767,2824.0,,81.0,1,40.0,1997,122.1746,100159.21787709495,100.0,100.0
23057,63820,9-10 years of elementary and secondary school,2,1,0,0,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,manufacturing,0,1,0,working,wages and salaries,0,1,30.0,,19.160893854748604,2086.0,,262.0,1,47.0,1997,1684.0032,40063.68715083799,100.0,100.0
23058,63822,university certificate below bachelor,4,1,1,1,0,0,0,0,0,0,1,0,employed all year,"occupations in social science, government service and religion",public administration,0,1,0,working,wages and salaries,0,2,24.0,,38.60049162011173,1467.0,,9.0,1,45.0,1997,860.1442,74901.67597765363,1000.0,1.0
23059,63827,,0,0,0,0,0,0,0,0,0,0,0,1,employed all year,professional in business and finance,"finance, insurance, real estate and leasing",0,0,0,working,wages and salaries,0,1,5.0,,83.57633519553072,3129.0,,28.0,0,27.0,1997,1512.2986,165480.44692737432,1000.0,100.0
23060,63828,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,0,1,0,employed all year,"retail salespersons, sales clerks, cashiers",trade,0,1,0,working,wages and salaries,0,1,1.0,,22.64469273743017,2086.0,,96.0,0,31.0,1997,612.6816,59224.5810055866,1000.0,20.0
23061,63829,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,clerical and supervisor occupations,"finance, insurance, real estate and leasing",0,0,0,working,wages and salaries,0,1,15.0,,25.51882681564246,1981.0,,127.0,1,39.0,1997,183.711,52256.98324022346,100.0,1.0
23062,63830,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,clerical and supervisor occupations,manufacturing,0,0,0,working,wages and salaries,0,1,25.0,,23.18468156424581,1955.0,,216.0,1,56.0,1997,195.2667,47031.28491620112,100.0,100.0
23063,63833,bachelor's degree,5,1,1,0,1,0,0,0,0,0,1,0,employed all year,middle management,educational services,0,1,0,working,wages and salaries,0,1,30.0,,66.88893854748603,2086.0,,424.0,0,52.0,1997,38.8183,126287.7094972067,1000.0,1000.0
23064,63834,11-13 years of elementary and secondary school (not graduated),2,1,0,0,0,0,0,0,0,0,0,1,employed all year,"chefs and cooks, food and beverage service",accommodation and food services,0,0,0,working,wages and salaries,0,2,5.0,,15.67709497206704,2279.0,,38.0,0,23.0,1997,223.5919,24386.59217877095,1.0,1.0
23065,63838,,0,0,0,0,0,0,0,0,0,0,1,0,employed all year,teachers and professors,educational services,0,1,0,working,wages and salaries,0,1,21.0,,47.27515083798883,1875.0,,124.0,1,43.0,1997,589.7738,95804.46927374302,1000.0,20.0
