,Unnamed: 0,edu,edu_level,elementary_edu,highschool_edu,postsec_edu,undergrad_edu,graduate_edu,grad_highschool_refyear,grad_college_refyear,grad_univ_refyear,student_status,public_sector,private_sector,lfs,occup,industry,self_emp,union,part_time,major_activity,major_source_inc,multiple_jobs,num_jobs,exp,reason_pt,hourly_wage,hours_paid,months_last_worked,tenure,sex,age,year,weight,salary,firm_size,loc_size
0,2,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,other trades,"information, culture and recreation",0,0,0,working,wages and salaries,1,2,5.0,,27.87039106145252,2190.0,,55.0,0,26.0,1997,332.9975,78385.47486033519,1.0,1.0
1,5,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,clerical and supervisor occupations,trade,0,0,0,working,wages and salaries,1,3,1.0,,14.806145251396648,1955.0,,13.0,0,34.0,1997,317.8111,32225.13966480447,20.0,20.0
2,8,bachelor's degree,5,1,1,0,1,0,0,0,0,0,1,0,employed all year,machine operators and assemblers in manufacturing,utilities,0,1,0,working,wages and salaries,0,1,12.0,,81.10283798882682,2086.0,,138.0,0,34.0,1997,274.8283,62708.37988826816,1000.0,500.0
3,12,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,natural and applied sciences,manufacturing,0,0,0,working,wages and salaries,0,1,13.0,,36.49279329608939,2868.0,,31.0,0,30.0,1997,366.1321,104513.96648044692,20.0,20.0
4,13,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,employed all year,sales and service,manufacturing,0,0,0,working,wages and salaries,0,1,33.0,,18.28994413407821,2086.0,,28.0,0,50.0,1997,1422.839,40063.68715083799,20.0,20.0
5,14,,0,0,0,0,0,0,0,0,0,0,1,0,employed all year,middle management,health care and social assistance,0,0,0,working,wages and salaries,1,2,9.0,,79.37835754189945,1955.0,,67.0,0,34.0,1997,1498.9656,165480.44692737432,100.0,100.0
6,17,bachelor's degree,5,1,1,0,1,0,0,0,0,0,0,1,"employed part-year, unemployed part-year","retail salespersons, sales clerks, cashiers",trade,0,0,0,working,wages and salaries,0,3,1.0,,11.932011173184357,561.0,,4.0,1,26.0,1997,80.3193,25257.54189944134,1000.0,1.0
7,21,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,manufacturing,0,0,0,working,wages and salaries,0,1,18.0,,66.88893854748603,2868.0,,97.0,0,37.0,1997,108.9539,130642.45810055868,1000.0,1000.0
8,22,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,manufacturing,0,0,0,working,wages and salaries,0,1,25.0,,40.13336312849162,2607.0,,17.0,0,41.0,1997,263.2449,100159.21787709495,1000.0,1000.0
9,23,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,1,0,employed all year,occupation in protective services,public administration,0,1,0,working,wages and salaries,0,1,8.0,,34.08897206703911,1339.0,,57.0,1,30.0,1997,140.6501,38321.78770949721,1000.0,100.0
10,24,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,other trades,manufacturing,0,0,0,working,wages and salaries,0,1,29.0,,34.83798882681564,2086.0,,198.0,0,52.0,1997,1102.71,83611.17318435754,1.0,1.0
11,26,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"wholesale, technical, insurance, real estate sales specialists","information, culture and recreation",0,0,0,working,wages and salaries,0,1,11.0,,48.30287150837989,2346.0,,139.0,1,33.0,1997,136.0183,148061.45251396648,1000.0,100.0
12,28,,0,0,0,0,0,0,0,0,0,0,1,0,employed all year,teachers and professors,educational services,0,1,0,working,wages and salaries,0,1,10.0,,48.91253631284916,2017.0,,124.0,1,35.0,1997,57.5323,104513.96648044692,1000.0,1.0
13,29,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,1,0,employed all year,sales and service,health care and social assistance,0,0,0,working,wages and salaries,0,1,39.0,,25.013675977653637,2086.0,,324.0,1,54.0,1997,253.4393,50515.08379888268,1000.0,1000.0
72,180,bachelor's degree,5,1,1,0,1,0,0,0,0,0,0,1,employed all year,teachers and professors,educational services,0,0,0,working,wages and salaries,1,2,7.0,,33.44446927374302,1825.0,,76.0,1,30.0,1997,895.4445,24386.59217877095,100.0,100.0
73,182,,0,0,0,0,0,0,0,0,0,0,1,0,employed all year,teachers and professors,educational services,0,1,0,working,wages and salaries,0,1,16.0,,42.36299441340783,2346.0,,196.0,1,41.0,1997,67.4918,113223.46368715084,20.0,20.0
74,183,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,"retail salespersons, sales clerks, cashiers",trade,0,0,0,working,wages and salaries,0,1,8.0,,26.75557541899441,1955.0,,87.0,0,28.0,1997,1598.0591,53998.882681564246,1000.0,100.0
75,184,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,1,0,employed all year,middle management,public administration,0,1,0,working,wages and salaries,0,1,17.0,,50.306055865921785,1955.0,,209.0,0,40.0,1997,176.6348,91449.72067039106,1000.0,100.0
76,187,9-10 years of elementary and secondary school,2,1,0,0,0,0,0,0,0,0,0,1,employed all year,sales and service,accommodation and food services,0,0,1,working,wages and salaries,0,1,0.0,only find PT,13.726167597765365,652.0,,26.0,1,17.0,1997,221.5694,9144.972067039103,1.0,1.0
77,188,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"retail salespersons, sales clerks, cashiers",trade,0,0,1,working,wages and salaries,0,1,20.0,only find PT,12.419743016759776,782.0,,26.0,1,45.0,1997,332.2961,15677.09497206704,1000.0,1.0
78,191,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,1,0,employed all year,teachers and professors,educational services,0,1,1,working,wages and salaries,0,1,0.0,only find PT,34.35025698324022,591.0,,32.0,1,25.0,1997,76.2812,18289.94413407821,20.0,20.0
79,194,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"retail salespersons, sales clerks, cashiers","professional, scientific and technical services",0,0,0,working,wages and salaries,0,1,11.0,,26.12849162011173,2086.0,,87.0,1,29.0,1997,95.7374,55740.78212290503,1.0,1.0
80,200,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,"chefs and cooks, food and beverage service",accommodation and food services,0,0,0,working,wages and salaries,0,1,3.0,,12.715865921787708,2086.0,,31.0,1,23.0,1997,607.1198,24386.59217877095,1.0,1.0
81,202,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,professional in health,health care and social assistance,0,1,0,working,wages and salaries,0,1,15.0,,49.94025698324023,1955.0,,221.0,1,37.0,1997,537.6322,91449.72067039106,100.0,100.0
82,204,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,natural and applied sciences,"professional, scientific and technical services",0,0,0,working,wages and salaries,0,1,12.0,,29.890994413407824,1955.0,,16.0,0,42.0,1997,174.2889,21773.743016759778,1000.0,20.0
83,205,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,"employed part-year, not in labour force part-year","chefs and cooks, food and beverage service",accommodation and food services,0,0,1,working,wages and salaries,0,1,23.0,personal preference,12.193296089385475,211.0,9.0,6.0,1,41.0,1997,174.2889,3309.608938547486,1.0,1.0
84,210,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,employed all year,clerical and supervisor occupations,"finance, insurance, real estate and leasing",0,0,0,working,wages and salaries,0,1,24.0,,38.21727374301676,1825.0,,84.0,1,47.0,1997,1610.1962,74901.67597765363,100.0,100.0
85,213,bachelor's degree,5,1,1,0,1,0,0,0,0,0,0,1,employed all year,professional in health,educational services,0,0,0,working,wages and salaries,0,1,14.0,,45.72486033519553,1436.0,,140.0,1,37.0,1997,922.3776,52256.98324022346,20.0,20.0
86,215,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,natural and applied sciences,trade,0,0,0,working,wages and salaries,0,1,8.0,,43.652,2086.0,,24.0,0,39.0,1997,250.0104,100159.21787709495,20.0,20.0
87,216,graduated high school,3,1,1,0,0,0,0,0,0,0,1,0,employed all year,other trades,utilities,0,1,0,working,wages and salaries,0,1,16.0,,47.03128491620112,2086.0,,149.0,0,36.0,1997,237.2886,117578.2122905028,1000.0,1000.0
88,218,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,middle management,,0,0,0,working,wages and salaries,0,1,8.0,,40.13336312849162,1955.0,,96.0,0,23.0,1997,552.5202,71417.87709497206,1000.0,1000.0
89,223,5-8 years of elementary school,2,1,0,0,0,0,0,0,0,0,0,1,employed all year,occupations unique to primary industry,agriculture,0,0,0,working,wages and salaries,0,1,33.0,,27.43491620111732,2346.0,,411.0,0,55.0,1997,234.9979,73159.77653631284,20.0,20.0
90,224,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,1,0,1,employed all year,middle management,trade,0,0,0,working,wages and salaries,1,3,4.0,,29.037463687150844,1304.0,,6.0,0,21.0,1997,310.7717,17418.99441340782,500.0,1.0
91,225,,0,0,0,0,0,0,0,0,0,0,1,0,employed all year,middle management,health care and social assistance,0,1,0,working,wages and salaries,0,1,23.0,,52.88406703910614,1893.0,,96.0,1,43.0,1997,501.0918,100159.21787709495,1000.0,20.0
92,228,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,natural and applied sciences,"business, building and other support services",0,0,0,working,wages and salaries,0,1,29.0,,50.16670391061452,2086.0,,13.0,0,48.0,1997,433.5591,91449.72067039106,500.0,500.0
93,230,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,1,0,1,"employed part-year, unemployed part-year",sales and service,trade,0,1,1,working,wages and salaries,0,3,1.0,only find PT,17.958983240223464,763.0,,95.0,0,24.0,1997,47.2536,18289.94413407821,1.0,1.0
94,232,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,sales and service,trade,0,0,0,working,wages and salaries,0,1,24.0,,13.935195530726258,1825.0,,51.0,1,55.0,1997,433.6581,25257.54189944134,1.0,1.0
95,233,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,other trades,construction,0,0,0,working,wages and salaries,0,1,11.0,,41.80558659217878,2086.0,,72.0,0,30.0,1997,56.1794,104513.96648044692,20.0,20.0
96,234,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,"employed part-year, not in labour force part-year",middle management,"professional, scientific and technical services",0,0,0,working,wages and salaries,0,1,0.0,,20.90279329608939,754.0,0.0,93.0,1,25.0,1997,172.0142,8709.49720670391,1.0,1.0
97,236,11-13 years of elementary and secondary school (not graduated),2,1,0,0,0,0,0,0,0,0,0,1,employed all year,"financial, secretarial and administrative","professional, scientific and technical services",0,0,0,working,wages and salaries,0,1,33.0,,25.91946368715084,2086.0,,56.0,1,49.0,1997,317.5444,59224.5810055866,20.0,20.0
98,238,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,other trades,construction,0,0,0,working,wages and salaries,0,1,10.0,,17.41899441340782,2086.0,,117.0,0,27.0,1997,838.4811,38321.78770949721,20.0,20.0
99,239,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,1,0,employed all year,"retail salespersons, sales clerks, cashiers",educational services,0,1,0,working,wages and salaries,1,2,4.0,,23.18468156424581,1774.0,,16.0,1,26.0,1997,137.1903,41805.58659217877,1000.0,1.0
100,242,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,manufacturing,0,1,0,working,wages and salaries,0,1,35.0,,39.27983240223464,1825.0,,27.0,0,55.0,1997,328.5782,95804.46927374302,100.0,100.0
673,1831,some university (no certificate),3,1,1,0,0,0,0,0,0,0,1,0,employed all year,"financial, secretarial and administrative",public administration,0,0,0,working,wages and salaries,0,1,24.0,,38.65274860335196,1955.0,,96.0,1,39.0,1997,512.5902,76643.57541899441,1000.0,100.0
674,1833,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,manufacturing,0,1,0,working,wages and salaries,0,1,18.0,,29.089720670391063,1648.0,,187.0,0,35.0,1997,271.5518,76643.57541899441,1000.0,1000.0
675,1838,,0,0,0,0,0,0,0,0,0,0,0,1,employed all year,middle management,trade,0,0,0,working,wages and salaries,0,1,33.0,,24.247240223463688,2086.0,,46.0,0,58.0,1997,27.5742,52256.98324022346,500.0,20.0
676,1844,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,"retail salespersons, sales clerks, cashiers","information, culture and recreation",0,0,1,working,wages and salaries,0,1,48.0,personal preference,13.91777653631285,1251.0,,427.0,1,68.0,1997,607.6359,20902.793296089385,100.0,100.0
677,1846,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"occupations in art, culture, recreation and sport","professional, scientific and technical services",1,0,1,working,wages and salaries,1,2,1.0,other,,1043.0,,12.0,1,22.0,1997,677.2829,9580.446927374302,1.0,1.0
678,1848,non-university postsecondary certificate,4,1,1,1,0,0,0,1,0,1,0,1,"employed part-year, not in labour force part-year","occupations in art, culture, recreation and sport","professional, scientific and technical services",0,0,0,working,wages and salaries,0,2,1.0,,22.64469273743017,185.0,,1.0,0,25.0,1997,63.1038,8709.49720670391,1.0,1.0
679,1851,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,other trades,trade,0,1,0,working,wages and salaries,0,1,7.0,,42.64169832402235,2086.0,,91.0,0,25.0,1997,59.8742,87094.97206703911,20.0,20.0
680,1852,9-10 years of elementary and secondary school,2,1,0,0,0,0,0,0,0,0,0,1,employed all year,"labourer in processing, manufacturing and utilities",manufacturing,0,1,0,working,wages and salaries,0,1,29.0,,14.16164245810056,1733.0,,280.0,1,46.0,1997,105.1998,41805.58659217877,1000.0,100.0
681,1854,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"labourer in processing, manufacturing and utilities",manufacturing,0,1,0,working,wages and salaries,0,1,7.0,,19.57894972067039,2086.0,,15.0,1,27.0,1997,199.7963,41805.58659217877,500.0,100.0
682,1858,bachelor's degree,5,1,1,0,1,0,0,0,0,0,1,0,employed all year,teachers and professors,educational services,0,1,0,working,wages and salaries,0,1,29.0,,51.59506145251397,1745.0,,160.0,0,51.0,1997,443.1112,95804.46927374302,1000.0,20.0
683,1859,9-10 years of elementary and secondary school,2,1,0,0,0,0,0,0,0,0,0,1,employed all year,"trades helpers, construction, and transportation labourers",trade,0,1,0,working,wages and salaries,0,1,7.0,,24.38659217877095,2086.0,,12.0,0,23.0,1997,15.1912,57482.68156424581,100.0,100.0
684,1861,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,"financial, secretarial and administrative","business, building and other support services",0,1,0,working,wages and salaries,0,1,28.0,,24.369173184357543,2086.0,,208.0,1,46.0,1997,782.3215,69675.97765363129,100.0,100.0
685,1863,bachelor's degree,5,1,1,0,1,0,0,0,0,0,0,1,employed all year,senior management,educational services,0,0,0,working,wages and salaries,0,1,10.0,,29.263910614525145,2086.0,,14.0,0,33.0,1997,1601.141,67934.07821229051,1.0,1.0
686,1865,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,transport and equipment operators,trade,0,1,0,working,wages and salaries,0,1,12.0,,31.859340782122903,2190.0,,151.0,1,30.0,1997,96.4261,73159.77653631284,100.0,100.0
782,2127,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"retail salespersons, sales clerks, cashiers",trade,0,0,0,working,wages and salaries,0,1,22.0,,16.791910614525143,2086.0,,16.0,1,51.0,1997,32.7996,33096.08938547486,1.0,1.0
783,2131,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,"employed part-year, not in labour force part-year",sales and service,accommodation and food services,0,0,1,working,wages and salaries,0,1,7.0,only find PT,25.08335195530726,727.0,3.0,16.0,1,28.0,1997,906.0238,16112.569832402234,1.0,1.0
784,2132,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,middle management,manufacturing,0,0,0,working,wages and salaries,0,1,23.0,,43.547486033519554,2086.0,,213.0,0,41.0,1997,460.3683,104513.96648044692,500.0,500.0
785,2135,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,other trades,manufacturing,0,0,0,working,wages and salaries,0,1,10.0,,36.23150837988827,2503.0,,113.0,0,28.0,1997,218.4012,87094.97206703911,20.0,20.0
786,2137,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,middle management,"forestry, fishing, mining, oil and gas",0,0,0,working,wages and salaries,0,1,31.0,,83.82020111731843,1955.0,,278.0,0,48.0,1997,264.3307,165480.44692737432,1000.0,100.0
787,2138,non-university postsecondary certificate,4,1,1,1,0,0,0,1,0,1,0,1,employed all year,construction trades,manufacturing,0,1,0,working,wages and salaries,0,1,21.0,,40.06368715083799,1476.0,,216.0,0,38.0,1997,496.6096,69675.97765363129,1000.0,1000.0
788,2141,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,employed all year,clerical and supervisor occupations,"information, culture and recreation",0,1,0,working,wages and salaries,0,1,10.0,,19.35250279329609,1955.0,,126.0,1,29.0,1997,45.0454,43547.48603351956,20.0,20.0
789,2144,non-university postsecondary certificate,4,1,1,1,0,0,0,1,0,1,0,1,employed all year,"technical, assisting and related in health",health care and social assistance,0,0,1,working,wages and salaries,0,1,12.0,personal preference,22.609854748603357,1356.0,,71.0,1,35.0,1997,420.5011,34837.98882681564,20.0,20.0
790,2145,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,transport and equipment operators,manufacturing,0,1,0,working,wages and salaries,0,1,12.0,,28.60198882681565,2607.0,,101.0,0,40.0,1997,229.3719,47031.28491620112,20.0,20.0
791,2152,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,"employed part-year, unemployed part-year",sales and service,"business, building and other support services",0,0,0,working,wages and salaries,0,2,6.0,,13.935195530726258,978.0,,65.0,1,41.0,1997,140.7412,31354.18994413408,1.0,1.0
792,2156,graduated high school,3,1,1,0,0,0,0,0,0,0,1,0,employed all year,sales and service,health care and social assistance,0,1,0,working,wages and salaries,0,1,7.0,,25.08335195530726,1981.0,,140.0,0,28.0,1997,126.4293,53998.882681564246,500.0,500.0
793,2160,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,"employed part-year, unemployed part-year","retail salespersons, sales clerks, cashiers",trade,0,0,1,working,wages and salaries,0,1,30.0,only find PT,11.932011173184357,119.0,,2.0,1,51.0,1997,49.5298,2874.1340782122907,1000.0,100.0
981,2701,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,other trades,construction,0,0,0,working,wages and salaries,0,1,30.0,,47.849977653631285,1669.0,,240.0,0,50.0,1997,515.405,80127.37430167598,1.0,1.0
982,2705,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"financial, secretarial and administrative","professional, scientific and technical services",0,0,1,working,wages and salaries,1,2,14.0,other,27.87039106145252,1445.0,,180.0,1,32.0,1997,1645.7634,57482.68156424581,1.0,1.0
983,2706,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,"employed part-year, unemployed part-year","chefs and cooks, food and beverage service",,0,0,0,working,wages and salaries,0,1,1.0,,11.322346368715085,2715.0,1.0,19.0,1,25.0,1997,241.326,12193.296089385474,1.0,1.0
984,2707,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,clerical and supervisor occupations,health care and social assistance,0,0,0,working,wages and salaries,0,1,14.0,,20.031843575419,1955.0,,13.0,1,36.0,1997,873.4904,36579.88826815642,1.0,1.0
985,2709,bachelor's degree,5,1,1,0,1,0,0,0,0,0,1,0,employed all year,professional in health,health care and social assistance,0,1,1,working,wages and salaries,1,2,12.0,personal preference,30.48324022346369,1043.0,,49.0,1,43.0,1997,487.1732,73159.77653631284,100.0,100.0
986,2710,9-10 years of elementary and secondary school,2,1,0,0,0,0,0,0,0,0,0,1,employed all year,"financial, secretarial and administrative",manufacturing,0,0,0,working,wages and salaries,0,1,18.0,,23.951117318435752,2086.0,,208.0,1,49.0,1997,437.7687,55740.78212290503,1.0,1.0
987,2713,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,"employed part-year, unemployed part-year","wholesale, technical, insurance, real estate sales specialists",trade,0,0,0,working,wages and salaries,0,2,19.0,,75.2500558659218,1390.0,,41.0,1,40.0,1997,287.806,139351.95530726257,1.0,1.0
988,2717,bachelor's degree,5,1,1,0,1,0,0,0,0,0,0,1,employed all year,middle management,manufacturing,0,0,0,working,wages and salaries,0,1,14.0,,44.59262569832403,2346.0,,84.0,0,36.0,1997,685.6463,108868.71508379887,1000.0,500.0
989,2720,bachelor's degree,5,1,1,0,1,0,0,0,0,0,0,1,employed all year,"occupations in social science, government service and religion",health care and social assistance,0,0,0,working,wages and salaries,0,1,5.0,,31.632893854748605,1929.0,,53.0,0,30.0,1997,323.3531,62708.37988826816,500.0,20.0
990,2721,5-8 years of elementary school,2,1,0,0,0,0,0,0,0,0,0,1,employed all year,"chefs and cooks, food and beverage service",accommodation and food services,0,0,0,working,wages and salaries,1,2,15.0,,18.74283798882681,2451.0,,22.0,0,32.0,1997,46.7608,60966.48044692737,20.0,20.0
993,2734,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,natural and applied sciences,"professional, scientific and technical services",0,0,0,working,wages and salaries,0,1,14.0,,43.26878212290503,1955.0,,21.0,0,35.0,1997,916.6403,59224.5810055866,1000.0,1000.0
994,2735,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,natural and applied sciences,manufacturing,0,0,0,working,wages and salaries,0,1,25.0,,33.00899441340782,1981.0,,268.0,1,49.0,1997,903.3381,66192.17877094971,500.0,100.0
995,2738,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"chefs and cooks, food and beverage service",accommodation and food services,0,0,1,working,wages and salaries,1,3,4.0,only find PT,10.364301675977654,782.0,,16.0,1,24.0,1997,506.2466,17418.99441340782,1.0,1.0
996,2739,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,manufacturing,0,0,0,working,wages and salaries,0,1,30.0,,33.96703910614525,2086.0,,100.0,0,49.0,1997,497.9734,76643.57541899441,100.0,100.0
997,2742,bachelor's degree,5,1,1,0,1,0,0,0,0,0,0,1,employed all year,"financial, secretarial and administrative","finance, insurance, real estate and leasing",0,0,0,working,wages and salaries,0,1,23.0,,66.88893854748603,2607.0,,132.0,0,46.0,1997,664.013,174189.94413407822,1.0,1.0
998,2743,bachelor's degree,5,1,1,0,1,0,0,0,1,1,0,1,employed all year,"financial, secretarial and administrative",trade,0,0,0,working,wages and salaries,0,1,10.0,,35.116692737430164,2086.0,,55.0,0,37.0,1997,101.592,66192.17877094971,100.0,20.0
999,2744,9-10 years of elementary and secondary school,2,1,0,0,0,0,0,0,0,0,0,1,"employed part-year, not in labour force part-year",machine operators and assemblers in manufacturing,,0,1,0,working,wages and salaries,0,1,17.0,,24.16014525139665,2000.0,,208.0,0,37.0,1997,652.1153,50515.08379888268,100.0,100.0
1000,2749,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"labourer in processing, manufacturing and utilities",manufacturing,0,0,0,working,wages and salaries,0,1,27.0,,21.495039106145253,2112.0,,215.0,0,42.0,1997,838.1918,50515.08379888268,20.0,20.0
1001,2752,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,employed all year,middle management,manufacturing,0,0,0,working,wages and salaries,0,1,24.0,,34.83798882681564,2422.0,,45.0,0,43.0,1997,296.8928,100159.21787709495,100.0,100.0
1002,2756,non-university postsecondary certificate,4,1,1,1,0,0,0,1,0,1,1,0,employed all year,clerical and supervisor occupations,public administration,0,1,0,working,wages and salaries,0,1,8.0,,68.83986592178772,2607.0,,98.0,0,32.0,1997,94.0811,95804.46927374302,100.0,100.0
1012,2793,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,transport and equipment operators,transportation and warehousing,0,0,0,working,wages and salaries,1,2,9.0,,16.373854748603353,2443.0,,15.0,0,29.0,1997,439.0623,45289.38547486033,100.0,100.0
1013,2794,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,clerical and supervisor occupations,health care and social assistance,0,0,1,working,wages and salaries,0,1,4.0,only find PT,13.935195530726258,782.0,,40.0,1,26.0,1997,357.196,13499.720670391062,1.0,1.0
1014,2796,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,middle management,health care and social assistance,0,0,0,working,wages and salaries,0,1,24.0,,40.13336312849162,2086.0,,444.0,0,46.0,1997,250.7995,117578.2122905028,20.0,20.0
1015,2801,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,1,0,employed all year,childcare and home support workers,educational services,0,1,0,working,wages and salaries,0,1,18.0,,22.29631284916201,1352.0,,64.0,1,39.0,1997,204.8857,33096.08938547486,1000.0,1000.0
1016,2803,11-13 years of elementary and secondary school (not graduated),2,1,0,0,0,0,0,0,0,1,0,1,employed all year,sales and service,,0,0,0,working,wages and salaries,0,1,1.0,,20.90279329608939,2086.0,,33.0,0,19.0,1997,233.1304,19160.893854748603,20.0,20.0
1017,2805,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,1,0,employed all year,occupation in protective services,public administration,0,0,0,working,wages and salaries,1,2,28.0,,33.44446927374302,2086.0,,372.0,0,46.0,1997,67.6761,78385.47486033519,1000.0,100.0
1018,2808,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,"retail salespersons, sales clerks, cashiers",trade,0,0,1,working,wages and salaries,0,1,12.0,only find PT,13.935195530726258,198.0,,80.0,1,36.0,1997,954.4003,24386.59217877095,1.0,1.0
1019,2809,bachelor's degree,5,1,1,0,1,0,0,0,0,0,1,0,employed all year,middle management,health care and social assistance,0,1,0,working,wages and salaries,0,1,14.0,,40.13336312849162,1825.0,,140.0,1,35.0,1997,768.8084,67934.07821229051,1000.0,500.0
1020,2814,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,middle management,manufacturing,0,0,0,working,wages and salaries,0,1,22.0,,21.303430167597767,2034.0,,127.0,1,39.0,1997,285.365,48773.1843575419,1.0,1.0
1021,2815,never attended school,1,0,0,0,0,0,0,0,0,0,0,1,employed all year,sales and service,other services,0,0,0,working,wages and salaries,0,1,22.0,,20.90279329608939,2086.0,,319.0,1,46.0,1997,601.4809,47031.28491620112,100.0,100.0
1022,2816,bachelor's degree,5,1,1,0,1,0,0,0,0,0,0,1,employed all year,natural and applied sciences,"business, building and other support services",0,0,0,working,wages and salaries,0,1,5.0,,29.263910614525145,2086.0,,55.0,0,29.0,1997,40.8164,55740.78212290503,500.0,1.0
1075,2974,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,"employed part-year, unemployed part-year",clerical and supervisor occupations,"information, culture and recreation",0,1,0,working,wages and salaries,0,1,32.0,,30.152279329608938,912.0,5.0,36.0,1,48.0,1997,466.8271,43547.48603351956,1000.0,20.0
1076,2976,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,sales and service,health care and social assistance,0,1,1,working,wages and salaries,1,2,14.0,only find PT,24.125307262569837,834.0,,80.0,0,31.0,1997,762.5253,40063.68715083799,100.0,20.0
